Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malaysia,,666,660,673.9863014,714.4931507,727.0273224,761.8027397,820.1013699,788.030137,755.704918,732.1643836,773.46,817.857,792.4754098,794.4438356,752.8082192,758.3601918,759.1694809,719.9601096,719.449274,655.4290411,661.2301093,631.7945205,656.9753425,712.1780822000001,748.9344262,733.9150685,736.2821918
Egypt,http://www.sciencekids.co.nz/images/pictures/flags96/Egypt.jpg,895,908,913.8054795,939,942.6666667,879.4575342,857.8054795,881.5890411,803.44,758.398,750.987,749.651,708.13,689.7205479,665.9589041,664.2739726,693.5737705,704.2849315,697.6154247,704.3096438,708.8128197000001,708.5393836000001,708.4514521000001,718.8704247000001,684.0811421,659.1454658,668.972863
Argentina,,583,629,694.109589,756.5753425,799.9836066,881.6712329,896.6849315,850.2328767,809.1420765,850.4,840.147,840.107,797.075,773.6497534,777.6019096,766.6811699,789.1062268,785.6484658,773.6476904,746.8204822,706.3420355000001,691.0539616000001,701.3434055,694.0442466,694.1311475,661.5890411,663.9205479
Ecuador,,324,348,367.9205479,395.0273973,399.9781421,391.3452055,379.0986301,376.6438356,398.220765,414.9835616,395.029,413.3136986,530.2447022,533.9764,537.6712192,513.1206,506.2796639,486.9911753,487.4915205,500.7880219,504.69207919999997,527.9874081999999,558.4160575,545.3525013999999,551.1847650000001,534.0872877,520.0516712
Thailand,,65,67,77.56986301,88.3260274,95.78415301,121.8383562,135.0876712,144.9013699,169.6557377,173.761,192.1616438,241.1962274,237.9219541,285.9770932,326.7313452,345.8849534,372.3052623,389.6729836,401.946263,427.3589096,467.37706280000003,473.7463836,474.36934249999996,493.596863,504.5245902,488.6684932,471.1013699
Australia,,591,558,592.309589,613.7945205,631.7486339,658.5616438,613.7068493,610.9506849,792.5655738,732,707.4711233,593.9863014,521.5441858,546.0849315,527.5835616,531.5219178,535.536612,545.8575342,555.3452055,479.6849315,473.2978142,399.4438356,418.77534249999997,378.18082189999996,350.9043716,319.49589039999995,347.49589039999995
Congo (Brazzaville),,174,181,179.9041096,187.8739726,200.9262295,265.2328767,277,282.8383562,292.1301093,266.6056247,260.2136219,255.838389,243.2536913,236.205811,247.7493151,214.1707397,240.2704918,274.860274,346.0562164,295.9598521,270.5953497,248.30152599999997,241.2824849,245.4784,204.9963251,252.1972603,347.4794521
Turkmenistan,,110,90,84.91506849,80.99178082,87.90983607,106.0109589,126.9945205,155.3671233,157.172,167,191.569,199.3643836,213.079235,195.8068493,176.4717808,179.5465753,188.5595628,196.9682192,201.1926027,222.2410959,243.39071040000002,258.7369863,271.2109589,275.0684932,262.7786885,277.0,276.3260274
Vietnam,,106,120,140.5068493,173.3013699,175.4508197,191.260274,245.5945205,290,316,356.7452055,339.5945205,352.5068493,403.2868852,372,366.9945205,324.1205479,311.7459016,341.1261918,308.0931507,311.6117671,340.5734481,342.5667123,315.3213973,339.1000959,308.0667268,277.5704247,248.15398629999999
Gabon,,298,313,328.5479452,364.7068493,368.3606557,370.3287671,351.7671233,331.0273973,315,270,251.2,241.4164384,239.0519126,266.3169096,237.219726,244.220589,248.136612,242.1287671,245.8767123,241.3534247,230.0,220.0,220.0,213.32876710000002,210.8196721,198.84931509999998,195.83561640000002
Equatorial Guinea,,1.6,4.5,5.010958904,5.001643836,17,52.42191781,83,102,167.5,181.4383562,212.5616438,206.4658767,368.2076503,375.4767123,362.8657534,368.5287671,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278.0,268.0,244.0,205.7780822,184.2328767
Ghana,,1.1,1.6,1.4,4,6,5,5,6,7,7,7,7,7,6,6,6,6,6,7.189041096,76.51232877,78.35519126,97.91232877,105.01917809999999,102.35616440000001,98.36065574,150.9780822,172.8383562
Germany,,85,81,78.57260274,79,78.41256831,75,78,76,86.81785792,83.863,89.86269863,94.29873973,83.90146448,109.7260274,126.9534247,80.3260274,89.08196721,91.33150685,150.51,149.362,142.951,149.5893836,145.27667119999998,144.44501369999998,146.40943169999997,142.7806986,140.2711096
Peru,,117,127,128.9178082,130.6219178,120.8360656,119.4109589,116.4767123,107.0547945,99.488,97.056,97.065,92.55,94.42025137,111.5946959,115.9811534,114.7690685,120.7284781,146.4795068,157.6408027,154.4569178,156.0159563,170.703537,175.4453699,152.391063,138.02156010000002,137.3519452,137.26975339999998
Chad,,0,0,0,0,0,0,0,0,0,0,0,36.06849315,170.5874317,176.6575342,157.9178082,144.2027397,127.1639344,119.4712329,122.5205479,114.9643836,104.4836066,100.0,121.0,123.0,114.0,128.0,132.0
South Sudan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.81160656,115.7700027,147.7629151,152.63880269999999,152.45901640000002,150.2356164,125.86301370000001
South Africa,,129,183,183,192,195,196,199,181.7,188.7,196.3284795,197.9638904,191.2410959,217.0278689,200.4027397,187.1561644,182.0575342,179.6716667,169.04,168.5531507,169.13,169.04256830000003,168.7108219,148.0,123.0,120.0,118.83013700000001,118.5808219
Denmark,,163,174,184.9780822,186.0767123,207.9234973,230.4821918,238.3534247,300.1808219,362.9344262,346.6927397,371.5416438,375.9265753,390.4472732,378.5455699,343.4048137,312.9557123,288.312888,261.6806849,246.9854301,222.8473452,203.8301831,177.6061671,167.52171230000002,158.2485753,143.60261200000002,140.0581507,118.16226029999999
Italy,,86,86,89.14657534,96.68219178,104.9983607,114.2890411,109.5534247,85.76986301,95.5,82.46,89.46164384,101.1493151,112.1666667,124.6082192,124.3424658,126.369863,119.9617486,102.2767123,125.2824795,116.1940822,114.6292131,144.0233425,140.3316712,143.2929589,107.70286340000001,104.1010274,116.09828770000001
Brunei,,177,178,180.4356164,175.6438356,166.3961749,175.0410959,179.2876712,203.9232877,215,217.225,189,195.944,204.1731066,209.6794521,220.9917808,169.6986301,157.4863388,148.6082192,153.0849315,169.1890411,158.57103830000003,135.3068493,126.69041100000001,126.8328767,120.86338799999999,113.14246580000001,111.4520548
Sudan,,0.3,0.3,0.1,0.2,1.992349727,4.979178082,10,69.10958904,186,209.1315068,238.7671233,269.739726,342.5136612,350,378.109589,463.7726027,477.8005464,483.5520548,486.2027397,453.260274,92.72548087,134.66733969999999,114.3748384,108.8003342,105.6465847,103.12020550000001,95.775
